title,brand,product name,keywords,new_price,old_price,discount,shades,rating_count,review_count,weight,weight_ml,weight_g,item,subitem,rating
M.A.C MACximal Matte Mini Lipstick,M.A.C,MACximal Matte Mini Lipstick,,1150,,,13,808582,5934,1.7g,,1.7,Lipstick,Lips,4.4
Daily Life Forever52 Ultra Definition Liquid Foundation,Daily,Life Forever52 Ultra Definition Liquid Foundation,,1055,1199,0.12,18,241383,1406,30ml,30,,Foundation,Face,4.4
Maybelline New York Colossal Bubble Waterproof Mascara Volum...,Maybelline,New York Colossal Bubble Waterproof Mascara Volum...,AD,552,649,0.15,,814,527,8.75ml,8.75,,Mascara,Eyes,4.8
Nykaa Cosmetics Eyes On Me! 10-in-1 Eyeshadow Palette,Nykaa,Cosmetics Eyes On Me! 10-in-1 Eyeshadow Palette,,454,699,0.35,5,250530,3874,12g,,12,Eye Shadow,Eyes,4.4
M.A.C MACximal Matte Lipstick,M.A.C,MACximal Matte Lipstick,BEST IN BEAUTY,2550,,,27,316700,2133,3.5g,,3.5,Lipstick,Lips,4.5
Kay Beauty Matte HD Setting Loose Powder,Kay,Beauty Matte HD Setting Loose Powder,,679,849,0.20,8,219533,2109,10g,,10,Loose Powder,Face,4.5
Insight Cosmetics Airbase Concealer,Insight,Cosmetics Airbase Concealer,AD,246,265,0.07,8,184,45,9g,,9,Concealer,Face,4.5
MARS Matte Muse Lipstick,MARS,Matte Muse Lipstick,,278,299,0.07,12,2193,452,,4,,Liquid Lipstick,Lips,4.3
"Maybelline New York Sensational Liquid Matte Lipstick, Long-...",Maybelline,"New York Sensational Liquid Matte Lipstick, Long-...",,287,429,0.33,17,281808,9154,7ml,7,,Liquid Lipstick,Lips,4.3
"Swiss Beauty Precision Thickening Long Lash Mascara ,Waterpr...",Swiss,"Beauty Precision Thickening Long Lash Mascara ,Waterpr...",,275,299,0.08,,18168,1356,10ml,10,,Mascara,Eyes,4.4
Insight Cosmetics Make-Up Essentials Cushion Concealer,Insight,Cosmetics Make-Up Essentials Cushion Concealer,AD,214,230,0.07,6,295,94,3g,,3,Concealer,Face,4.4
Nykaa All Day Matte Long Lasting Transferproof Liquid Lipsti...,Nykaa,All Day Matte Long Lasting Transferproof Liquid Lipsti...,,239,399,0.40,18,1106447,4137,2.1ml,2.1,,Liquid Lipstick,Lips,4.3
MARS Candylicious Colored Lip Gloss,MARS,Candylicious Colored Lip Gloss,,237,249,0.05,12,7707,1575,4ml,4,,Lip Gloss,Lips,4.4
Maybelline New York Fit Me Matte+Poreless 16H Oil Control Fo...,Maybelline,New York Fit Me Matte+Poreless 16H Oil Control Fo...,,260,329,0.21,6,735795,8817,18ml,18,,Foundation,Face,4.3
Charlotte Tilbury Hollywood Filter,Charlotte,Tilbury Hollywood Filter,AD,5100,,,8,7962,216,30ml,30,,Foundation,Face,4.5
Kay Beauty 24HR Coloured Matte Kajal,Kay,Beauty 24HR Coloured Matte Kajal,,339,399,0.15,4,42895,928,0.35gm,,0.35,Kajal,Eyes,4.4
Lakme Complexion Care Face CC Cream,Lakme,Complexion Care Face CC Cream,,359,399,0.10,6,269630,5740,30g,,30,BB & CC Cream,Face,4.4
M.A.C Prep + Prime Fix+ Alcohol Free Setting Spray - Origi...,M.A.C,Prep + Prime Fix+ Alcohol Free Setting Spray - Origi...,,2300,2700,0.15,,471,66,100ml,100,,Setting Spray,Face,4.5
Kay Beauty x Falguni Shane Peacock Luxe Face Palette,Kay,Beauty x Falguni Shane Peacock Luxe Face Palette,"AD
NEW",2199,,,2,32,18,10g,,10,,,4.7
Pixi On The Glow Cream Blush,Pixi,On The Glow Cream Blush,BEST IN BEAUTY,1950,,,4,7800,858,19ml,19,,Blush,Face,4.4
"Maybelline Color Sensational Creamy Matte Lipstick, 12H Form...",Maybelline,"Color Sensational Creamy Matte Lipstick, 12H Form...",,263,329,0.20,25,6902544,23157,3.9g,,3.9,Lipstick,Lips,4.3
MARS Fabulash Mascara,MARS,Fabulash Mascara,,219,249,0.12,,21596,1466,12ml,12,,Mascara,Eyes,4.4
Insight Cosmetics Make Up Fixer Spray,Insight,Cosmetics Make Up Fixer Spray,AD,209,220,0.05,,29937,1064,75ml,75,,Setting Spray,Face,4.4
Kay Beauty Hyper Gloss Liquid Luminizing Highlighter,Kay,Beauty Hyper Gloss Liquid Luminizing Highlighter,,949,,,3,2223,420,8.5ml,8.5,,Highlighters,Face,4.5
Faces Canada Strobe Cream Primer + Highlighter + Moisturizer...,Faces,Canada Strobe Cream Primer + Highlighter + Moisturizer...,,499,599,0.17,5,18472,782,30ml,30,,Highlighters,Face,4.2
Charlotte Tilbury Airbrush Flawless Foundation Foundation,Charlotte,Tilbury Airbrush Flawless Foundation Foundation,,5100,,,31,77482,523,30ml,30,,Foundation,Face,4.5
SUROSKIE My Glow All In One Tinted Sunscreen Glowy Finish Li...,SUROSKIE,My Glow All In One Tinted Sunscreen Glowy Finish Li...,AD,1439,1599,0.10,3,92,6,60ml,60,,Tinted Moisturizer,Face,3.9
Maybelline New York Lifter Gloss,Maybelline,New York Lifter Gloss,BEST IN BEAUTY,639,799,0.20,10,15306,1872,5.4ml,5.4,,Lip Gloss,Lips,4.4
"Lakme 9 to 5 Eyeconic Kajal, Waterproof, Smudgeproof, lasts ...",Lakme,"9 to 5 Eyeconic Kajal, Waterproof, Smudgeproof, lasts ...",,214,225,0.05,6,549409,4981,0.35gm,,0.35,Kajal,Eyes,4.4
Kay Beauty Matte Liquid Lipstick,Kay,Beauty Matte Liquid Lipstick,,960,1200,0.20,12,68575,653,3.5ml,3.5,,Liquid Lipstick,Lips,4.4
Charlotte Tilbury Airbrush Flawless Finish Mini,Charlotte,Tilbury Airbrush Flawless Finish Mini,AD,2900,,,2,1592,193,3.4g,,3.4,Compact,Face,4.4
Nykaa Cosmetics Nail Enamel - Base BFF 373,Nykaa,Cosmetics Nail Enamel - Base BFF 373,,101,119,0.15,40,1028978,3853,9ml,9,,Nail Polish,Nails,4.5
MARS Matte Lipsticks Box,MARS,Matte Lipsticks Box,,398,447,0.11,6,33957,1397,9.6g,,9.6,Lipstick,Lips,4.2
Maybelline New York Volum Express Hyper Curl Mascara,Maybelline,New York Volum Express Hyper Curl Mascara,,351,439,0.20,2,353989,13121,9.2ml,9.2,,Mascara,Eyes,4.4
Kay Beauty Full Coverage Cloud Cushion Foundation With SPF P...,Kay,Beauty Full Coverage Cloud Cushion Foundation With SPF P...,AD,1599,,,12,400,123,14g,,14,Foundation,Face,4.6
"Lakme 9 To 5 Powerplay Priming Matte Lipstick, Lasts hrs",Lakme,"9 To 5 Powerplay Priming Matte Lipstick, Lasts hrs",,520,650,0.20,39,95498,3313,3.6g,,3.6,Lipstick,Lips,4.2
LANEIGE Glaze Craze Tinted Lip Serum,LANEIGE,Glaze Craze Tinted Lip Serum,,1035,1150,0.10,8,1170,448,12g,,12,Lip Balm,Lip Care,4.7
NARS Natural Radiant Longwear Foundation,NARS,Natural Radiant Longwear Foundation,,4800,,,30,296,46,30ml,30,,Foundation,Face,4.3
"L'Oreal Paris Infallible Laque Resistance Liquid Lipstick, 1...",L'Oreal,"Paris Infallible Laque Resistance Liquid Lipstick, 1...",AD,699,999,0.30,10,195,56,4ml,4,,Liquid Lipstick,Lips,4.5
Maybelline New York The Colossal Volum Express Mascara,Maybelline,New York The Colossal Volum Express Mascara,,349,499,0.30,2,260483,5763,10ml,10,,Mascara,Eyes,4.4
Kay Beauty Matte Compact,Kay,Beauty Matte Compact,,679,849,0.20,8,141760,1308,9g,,9,Compact,Face,4.4
Bioderma Dermatological Micellar Water Sensibio H2O - Gently...,Bioderma,Dermatological Micellar Water Sensibio H2O - Gently...,,1039,1299,0.20,,44402,2062,500ml,500,,Micellar Water,Cleansers,4.6
ETUDE Fixing Tint,ETUDE,Fixing Tint,"AD
NEW",855,950,0.10,3,52,24,4g,,4,Liquid Lipstick,Lips,4.4
Insight Cosmetics Pro Concealer Palette - Corrector,Insight,Cosmetics Pro Concealer Palette - Corrector,,242,255,0.05,,60144,3576,15gm,,15,Concealer,Face,4.4
"Maybelline New York The Colossal Bold Liner, Smudgeproof & W...",Maybelline,"New York The Colossal Bold Liner, Smudgeproof & W...",,255,319,0.20,,65083,3896,3ml,3,,Eyeliner,Eyes,4.4
Too Faced Born This Way Super Coverage Multi Use Sculpting C...,Too,Faced Born This Way Super Coverage Multi Use Sculpting C...,,2800,,,31,46320,1082,13.5ml,13.5,,Concealer,Face,4.6
inde wild Dewy Lip Balms,inde,wild Dewy Lip Balms,AD,719,799,0.10,6,1997,359,15ml,15,,Lip Balm,Lip Care,4.5
Kay Beauty Matte Action Lip Liner,Kay,Beauty Matte Action Lip Liner,,519,649,0.20,9,234223,1780,1.2g,,1.2,Lip Liner,Lips,4.4
Nykaa Cosmetics All Day Matte 12HR Oil Control Face Compact ...,Nykaa,Cosmetics All Day Matte 12HR Oil Control Face Compact ...,,155,259,0.40,7,407585,3194,8gm,,8,Compact,Face,4.3
MARS Love Track Velvet Lip Tint,MARS,Love Track Velvet Lip Tint,,278,299,0.07,6,1662,415,,,,Lip Tint,Lips,4.5
Clinique Almost Lipstick In Black Honey Lip Balm,Clinique,Almost Lipstick In Black Honey Lip Balm,AD,2200,,,,2208,409,1.9g,,1.9,Lipstick,Lips,4.3
Maybelline New York The Colossal Kajal 24Hour Smudge Proof,Maybelline,New York The Colossal Kajal 24Hour Smudge Proof,,173,199,0.13,1,124966,3370,0.35g,,0.35,Kajal,Eyes,4.5
"L’Oreal Paris Infallible 24H Tinted Serum Foundation, Lightw...",L’Oreal,"Paris Infallible 24H Tinted Serum Foundation, Lightw...",,799,999,0.20,7,1217,436,30ml,30,,Foundation,Face,4.5
